epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3225.31,0.91754,1.25186,0.00411,0.68245,0.67464,0.7129,0.48825,1.22273,1.25057,0.00671,0.005842,0.005842,0.005842
44,3297.75,0.91331,1.24918,0.00416,0.75456,0.75994,0.80427,0.65952,0.77214,0.89924,0.00412,0.005743,0.005743,0.005743
45,3372.38,0.91741,1.24396,0.00417,0.67126,0.60014,0.64472,0.4432,1.30565,1.46174,0.00724,0.005644,0.005644,0.005644
46,3448.26,0.91377,1.24755,0.00414,0.74649,0.75822,0.80078,0.64746,0.81242,0.90254,0.00434,0.005545,0.005545,0.005545
47,3522.68,0.91317,1.23249,0.00412,0.71184,0.73142,0.77098,0.60474,0.88788,1.01532,0.00478,0.005446,0.005446,0.005446
48,3598.52,0.92109,1.21583,0.00416,0.73932,0.74323,0.7737,0.58937,0.9745,0.98556,0.00527,0.005347,0.005347,0.005347
49,3674.16,0.91033,1.19106,0.00409,0.76049,0.75076,0.79297,0.63982,0.83202,0.90625,0.00447,0.005248,0.005248,0.005248
50,3749.22,0.89514,1.18939,0.00402,0.74095,0.72547,0.7626,0.58282,0.95655,1.03239,0.00518,0.005149,0.005149,0.005149
51,3825.21,0.90443,1.18718,0.00405,0.73677,0.72837,0.76835,0.59349,0.94472,1.03883,0.00512,0.00505,0.00505,0.00505
52,3900.89,0.90409,1.20911,0.00407,0.73861,0.73524,0.77169,0.58408,0.98237,1.00051,0.00534,0.004951,0.004951,0.004951
53,3976.3,0.8988,1.18979,0.00402,0.74351,0.7359,0.77848,0.62664,0.83117,0.98684,0.00443,0.004852,0.004852,0.004852
54,4051.02,0.89887,1.20211,0.00406,0.70233,0.68533,0.72519,0.5567,0.98536,1.14901,0.00537,0.004753,0.004753,0.004753
55,4125.52,0.91472,1.19299,0.00413,0.73362,0.71845,0.75586,0.59131,0.9238,1.03626,0.005,0.004654,0.004654,0.004654
56,4200.58,0.89402,1.16389,0.004,0.77543,0.78051,0.8117,0.6758,0.74774,0.86169,0.00398,0.004555,0.004555,0.004555
57,4274.83,0.88544,1.1459,0.00395,0.72073,0.68822,0.7283,0.53511,1.08891,1.14461,0.00598,0.004456,0.004456,0.004456
58,4348.67,0.87753,1.13267,0.00394,0.7303,0.69552,0.72676,0.53838,1.10085,1.12533,0.00605,0.004357,0.004357,0.004357
59,4422.51,0.89553,1.14428,0.00401,0.75139,0.7377,0.7785,0.6098,0.90545,0.96739,0.00489,0.004258,0.004258,0.004258
60,4496.42,0.86822,1.10749,0.00389,0.75582,0.7565,0.79323,0.63508,0.84633,0.92067,0.00455,0.004159,0.004159,0.004159
61,4570.74,0.87893,1.12419,0.00394,0.75833,0.75726,0.79467,0.64362,0.82578,0.9118,0.00443,0.00406,0.00406,0.00406
62,4644.58,0.8727,1.12603,0.00386,0.73031,0.72127,0.75779,0.57914,0.98136,1.03039,0.00534,0.003961,0.003961,0.003961
63,4717.68,0.88038,1.11641,0.00393,0.75481,0.7584,0.79014,0.61754,0.9024,0.92406,0.00488,0.003862,0.003862,0.003862
64,4790.55,0.87493,1.10658,0.00394,0.78735,0.79369,0.82166,0.67339,0.7884,0.79993,0.00422,0.003763,0.003763,0.003763
65,4863.35,0.86736,1.0888,0.00387,0.75166,0.73809,0.77241,0.5876,0.98706,0.9771,0.00537,0.003664,0.003664,0.003664
66,4936.39,0.87244,1.09756,0.0039,0.76418,0.78022,0.81015,0.64949,0.83692,0.85535,0.00449,0.003565,0.003565,0.003565
67,5009.33,0.86142,1.07401,0.00382,0.73489,0.73072,0.75977,0.58554,0.96162,1.0085,0.00523,0.003466,0.003466,0.003466
68,5082.35,0.85855,1.07596,0.00384,0.75634,0.76279,0.79695,0.65369,0.79017,0.88566,0.00423,0.003367,0.003367,0.003367
69,5155.23,0.86793,1.09242,0.00386,0.75587,0.77064,0.79725,0.63818,0.85005,0.88803,0.00458,0.003268,0.003268,0.003268
70,5227.88,0.85076,1.05483,0.00379,0.74888,0.75342,0.78076,0.61705,0.9056,0.95459,0.00492,0.003169,0.003169,0.003169
71,5300.95,0.8556,1.06172,0.0038,0.77349,0.76235,0.79663,0.63528,0.87094,0.87915,0.00469,0.00307,0.00307,0.00307
72,5373.88,0.84958,1.04315,0.0038,0.78807,0.79166,0.81877,0.65894,0.83718,0.808,0.00451,0.002971,0.002971,0.002971
73,5446.59,0.84384,1.03694,0.00377,0.76178,0.75773,0.78385,0.60987,0.92652,0.91894,0.00504,0.002872,0.002872,0.002872
74,5519.31,0.85027,1.04077,0.00378,0.77703,0.76989,0.80318,0.64572,0.846,0.87958,0.00455,0.002773,0.002773,0.002773
75,5592.52,0.84676,1.03951,0.00375,0.76275,0.76478,0.79455,0.62877,0.88022,0.90028,0.00476,0.002674,0.002674,0.002674
76,5665.45,0.84579,1.03909,0.00375,0.75874,0.75888,0.78989,0.62815,0.8717,0.90371,0.00471,0.002575,0.002575,0.002575
77,5738.21,0.84064,1.03314,0.00376,0.76372,0.78833,0.80806,0.65076,0.83459,0.84467,0.00449,0.002476,0.002476,0.002476
78,5811.19,0.84043,1.02985,0.00373,0.78624,0.78532,0.81782,0.65907,0.83352,0.82651,0.00448,0.002377,0.002377,0.002377
79,5884.26,0.84188,1.03353,0.00374,0.75767,0.75385,0.78032,0.6042,0.9505,0.94621,0.00517,0.002278,0.002278,0.002278
80,5957.11,0.84845,1.01365,0.00376,0.77755,0.78181,0.80694,0.65034,0.83328,0.82672,0.00449,0.002179,0.002179,0.002179
81,6029.87,0.82548,0.9996,0.00366,0.77443,0.77447,0.80287,0.64333,0.85221,0.86656,0.0046,0.00208,0.00208,0.00208
82,6102.41,0.83101,1.01643,0.00368,0.77896,0.78155,0.81213,0.66377,0.7993,0.84143,0.00429,0.001981,0.001981,0.001981
83,6175.14,0.83304,1.01006,0.00369,0.77959,0.76309,0.79371,0.63469,0.87061,0.89271,0.00471,0.001882,0.001882,0.001882
84,6248.27,0.82249,0.99544,0.00367,0.79158,0.79834,0.82682,0.67939,0.77401,0.77789,0.00414,0.001783,0.001783,0.001783
85,6326.88,0.83127,0.99841,0.00369,0.7793,0.76972,0.80639,0.65003,0.83433,0.85283,0.0045,0.001684,0.001684,0.001684
86,6402.17,0.81918,0.99159,0.00365,0.76796,0.762,0.79104,0.62913,0.87913,0.89651,0.00477,0.001585,0.001585,0.001585
87,6477.81,0.82314,0.98652,0.00365,0.7779,0.79738,0.82131,0.66547,0.81643,0.80192,0.00439,0.001486,0.001486,0.001486
88,6552.13,0.82167,0.98374,0.00365,0.77867,0.78412,0.81055,0.65815,0.81336,0.83666,0.00438,0.001387,0.001387,0.001387
89,6626.16,0.82127,0.98324,0.00367,0.77157,0.77767,0.80093,0.64591,0.83336,0.86411,0.0045,0.001288,0.001288,0.001288
